,Country/Region,Population,confirmed per,mortality rate,recover rate
115,Niger,24281433.0,4.9521148296496525e-05,0.05738367691544431,0.932175380935932
116,Nigeria,206606300.0,0.00029110384769916934,0.018545811256865437,0.8649663941859529
117,North Macedonia,2083365.0,0.00981998406957548,0.03852437293631171,0.7879078890942329
118,Norway,5425471.0,0.0028248750712662144,0.01803932110158053,0.7602936129598711
119,Oman,5118446.0,0.02040152638342011,0.00972885776657046,0.881421610646686
120,Pakistan,221295851.0,0.00020557475914829184,0.020318262009969938,0.9284461289464611
121,Panama,4321282.0,0.027556084308108363,0.02080676108609186,0.8000011485359716
122,Papua New Guinea,8963009.0,6.202654091326298e-05,0.012601943904237462,0.9564527286959363
123,Paraguay,7141091.0,0.006778928380053475,0.021455014635678768,0.6359070709601791
124,Peru,33016319.0,0.0009800677244631239,0.032740932101871664,inf
125,Philippines,109722719.0,0.0030593233638129018,0.018271903187963096,0.8354347964003441
